test,congestion_reward,alpha,time_trained,reward,arrived,tyre_pm_emitted,congestion_component
5,None,0,0,-42523.275263926946,1212.0,42523.27522876627,253176.0
5,None,0,999999.0,-9490.722518205643,704.0,9490.722513432918,251611.0
5,None,0,1000000.0,-9440.860095024109,702.0,9440.860091965433,251611.0
6,delta_wait_time_reward,1,0,-295699.2752828598,1212.0,42523.27522876627,253176.0
6,delta_wait_time_reward,1,1000000.0,-88325.29579643905,1931.0,87915.29575110378,410.0
7,delta_wait_time_reward,0.16666666666666666,0,-84719.27504730225,1212.0,42523.27522876627,253176.0
7,delta_wait_time_reward,0.16666666666666666,1000000.0,-51172.817029953,704.0,9237.650379619266,251611.0
8,delta_wait_time_reward,0.25,0,-105817.27523422241,1212.0,42523.27522876627,253176.0
8,delta_wait_time_reward,0.25,1000000.0,-72080.60458564758,702.0,9177.854583751283,251611.0
9,delta_wait_time_reward,0.8,0,-245064.07524108887,1212.0,42523.27522876627,253176.0
9,delta_wait_time_reward,0.8,1000000.0,-212723.57997012138,696.0,10613.980110531946,252637.0
10,delta_wait_time_reward,0.9,0,-270381.67541980743,1212.0,42523.27522876627,253176.0
10,delta_wait_time_reward,0.9,1000000.0,-69213.93786111847,1614.0,68543.43763891002,745.0
11,delta_wait_time_reward,0.85,0,-257722.87508010864,1212.0,42523.27522876627,253176.0
11,delta_wait_time_reward,0.85,1000000.0,-222558.4529132843,700.0,8491.052745381925,251844.0
12,get_pressure,1,0,-330877.2751045227,1212.0,42523.27522876627,288354.0
12,get_pressure,1,1000000.0,-264309.1435165405,704.0,9418.14386361982,254891.0
