step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,
5.0,0,0.0,0.0,12.365808371096406,0,0.0,0.8967919870139905,0,0.0,
10.0,0,0.0,0.0,11.846221482506872,0,0.0,0.8652343496429649,0,0.0,False
15.0,4,5.0,0.2777777777777778,4.916973385127806,4,5.0,0.32358496689114485,4,5.0,False
20.0,10,53.0,2.9444444444444446,5.434447497633108,10,53.0,0.3292710586314459,10,53.0,False
25.0,6,60.0,2.5,5.833513718695566,6,76.0,0.3517696568614887,6,76.0,False
30.0,8,97.0,4.409090909090909,7.520450396366615,8,97.0,0.3780148841758321,8,97.0,False
35.0,7,123.0,4.730769230769231,6.233226994712629,7,123.0,0.27207310516454764,7,123.0,False
40.0,11,174.0,6.214285714285714,7.228381666832083,11,174.0,0.4069979244328088,11,174.0,False
45.0,7,182.0,6.275862068965517,6.8111329030878025,7,203.0,0.4090642793451155,7,203.0,False
50.0,9,214.0,7.642857142857143,6.511786884182674,9,216.0,0.32263474880641185,9,216.0,False
55.0,11,193.0,6.433333333333334,5.635856229329432,11,193.0,0.26474534109612063,11,193.0,False
